ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 6,OYR,3.828277,3.852101,3.866263,3.866665,3.85539,3.848774,3.816056,3.828298,3.8073,3.782778,3.794941,3.7556,3.700372,3.780485,3.798021,3.816844,3.830192,3.846839,3.874704,3.882195,3.889969,3.89803,3.915758,3.930794,3.938391,3.944611,3.958559,3.967743,3.970278,3.973693,3.974615,3.979115,3.986592,3.975166,3.926443,3.856167,3.824778,3.823821,3.828376,3.775924,3.722181,3.670836,3.637946,3.622816,3.621054,3.637793
Action 7,ALX,0.9677734,0.9677734,0.9658203,0.9604492,0.9555664,0.9648438,0.9550781,1.106934,1.460449,1.187988,-0.03955078,-0.09765625,0.1494141,0.08203125,-0.05566406,-0.1035156,1.478027,1.269043,0.8339844,0.7885742,0.8730469,0.875,0.9145508,0.8549805,0.8339844,0.8530273,0.8129883,0.8603516,0.8920898,0.9394531,0.9389648,0.9331055,0.9716797,0.9916992,0.9462891,0.9521484,0.9506836,0.9575195,0.9516602,0.9555664,0.9580078,0.9526367,0.9555664,0.953125,0.953125,0
Action 7,ALY,-0.2133789,-0.2182617,-0.2075195,-0.2324219,-0.2080078,-0.2158203,-0.215332,-0.1591797,-0.3989258,-0.9306641,-0.7675781,-0.5854492,-0.6464844,-0.5229492,-0.3354492,-0.4423828,-1.183594,-0.6845703,-0.6303711,-0.4189453,-0.4428711,-0.4023438,-0.3613281,-0.421875,-0.3901367,-0.4169922,-0.4160156,-0.4389648,-0.2592773,-0.3330078,-0.2744141,-0.3505859,-0.2470703,-0.2270508,-0.2680664,-0.2485352,-0.2397461,-0.2568359,-0.237793,-0.2480469,-0.2382813,-0.2509766,-0.2416992,-0.237793,-0.2338867,0
Action 7,ALZ,0.1303711,0.1318359,0.121582,0.1220703,0.1220703,0.121582,0.121582,0.03662109,0.3120117,0.7358398,0.2954102,0.09912109,0.3515625,0.4926758,0.2583008,0.2128906,0.7358398,0.4423828,0.1303711,0.2172852,0.3115234,0.2783203,0.2973633,0.2836914,0.2958984,0.3012695,0.2963867,0.2661133,0.2246094,0.2402344,0.2060547,0.1982422,0.1381836,0.1508789,0.1367188,0.1538086,0.1386719,0.1459961,0.1259766,0.1323242,0.1303711,0.1357422,0.1303711,0.1293945,0.1308594,0
Action 7,ARX,0.9267578,0.9204102,0.921875,0.9243164,0.9204102,0.9150391,0.9316406,0.9287109,1.236816,1.432617,0.8549805,-0.06689453,-0.02929688,0.005859375,-0.1044922,-0.2397461,0.2773438,1.651855,0.8969727,0.7905273,0.8212891,0.8623047,0.8105469,0.8276367,0.8027344,0.7998047,0.8022461,0.7666016,0.8012695,0.8618164,0.8759766,0.824707,0.8359375,0.9077148,0.9257813,0.9208984,0.9023438,0.9067383,0.9306641,0.9165039,0.9101563,0.909668,0.9204102,0.9160156,0.9091797,0
Action 7,ARY,0.2895508,0.2919922,0.2885742,0.2875977,0.2875977,0.2900391,0.2822266,0.293457,0.25,0.7954102,0.8842773,0.4384766,0.4755859,0.5424805,0.40625,0.1611328,1.013184,0.9736328,0.9047852,0.5834961,0.5151367,0.4472656,0.4291992,0.4990234,0.3730469,0.4628906,0.4541016,0.4858398,0.5068359,0.3427734,0.434082,0.4956055,0.4082031,0.3286133,0.3740234,0.3662109,0.3310547,0.315918,0.3056641,0.296875,0.3056641,0.3017578,0.3012695,0.3032227,0.300293,0
Action 7,ARZ,0.15625,0.1547852,0.1582031,0.159668,0.1630859,0.1503906,0.152832,0.1469727,0.1401367,0.5087891,0.5458984,0.1933594,0.4008789,0.4228516,0.3325195,0.09863281,0.3828125,0.6821289,0.2583008,0.2099609,0.293457,0.2856445,0.2875977,0.2729492,0.3066406,0.2783203,0.2895508,0.2910156,0.2807617,0.2495117,0.2495117,0.2548828,0.2543945,0.175293,0.168457,0.1835938,0.1855469,0.1611328,0.1611328,0.1586914,0.1699219,0.1542969,0.1616211,0.1625977,0.1518555,0
Action 7,EMG0L,1,-1,-1,1,-3,-2,0,-1,3,-8,0,16,-11,-42,13,15,-11,8,12,27,0,3,1,1,35,0,-2,-4,-2,1,-2,2,-2,0,0,-1,-2,-1,-3,-2,-1,-1,-1,-2,-1,0
Action 7,EMG1L,2,-1,-2,-2,-2,-2,0,-19,-8,-14,-8,8,-4,-20,-8,6,-12,1,-2,11,-1,-1,0,0,43,-2,-3,-3,-2,-1,-3,2,-1,-1,-1,0,-1,-3,-2,-3,-2,0,0,1,-2,0
Action 7,EMG2L,-4,0,-3,-1,0,-3,-2,-9,-18,-10,-1,0,-1,1,1,-1,-10,-2,0,9,0,-2,-2,0,6,0,-2,-1,-4,-1,-1,0,0,0,0,-1,0,-2,-1,0,-1,-2,-2,-1,0,0
