ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 66,EMG6R,-3,-1,0,0,0,-3,-1,-1,0,0,1,-2,1,-1,-24,-3,31,39,-14,-39,-45,-29,-33,-3,-21,-12,-19,49,-24,-1,2,1,11,6,6,-6,-4,-1,0,-1,-3,-1,-3,0,2,0
Action 66,EMG7R,1,-2,0,-1,-2,-1,0,-1,-1,0,0,-2,2,-4,0,4,1,13,14,-2,-13,-9,8,2,3,29,-5,2,-14,3,-4,2,-2,-29,0,-5,1,-1,2,-2,-1,0,-7,-1,0,0
Action 66,GLX,-4,-2,-3.375,0.5,-4.25,-1.25,-8.0625,-7.25,-1.4375,4.125,-12.3125,22.0625,51.6875,52.875,54.125,13.375,3.875,7.5,-22.8125,-18.4375,-28.3125,-43,-39.375,-49.75,-24.9375,-8.25,-9.6875,-2.8125,-14.5625,5.8125,12.6875,6.375,-4.3125,-27.375,-15.75,6.0625,-0.125,-33.375,-15.75,-45.25,-12.75,-9.3125,-14.5,-3.375,-3.125,0
Action 66,GLY,-4,-2,-3.375,0.5,-4.25,-1.25,-8.0625,-7.25,-1.4375,4.125,-12.3125,22.0625,51.6875,52.875,54.125,13.375,3.875,7.5,-22.8125,-18.4375,-28.3125,-43,-39.375,-49.75,-24.9375,-8.25,-9.6875,-2.8125,-14.5625,5.8125,12.6875,6.375,-4.3125,-27.375,-15.75,6.0625,-0.125,-33.375,-15.75,-45.25,-12.75,-9.3125,-14.5,-3.375,-3.125,0
Action 66,GLZ,-4,-2,-3.375,0.5,-4.25,-1.25,-8.0625,-7.25,-1.4375,4.125,-12.3125,22.0625,51.6875,52.875,54.125,13.375,3.875,7.5,-22.8125,-18.4375,-28.3125,-43,-39.375,-49.75,-24.9375,-8.25,-9.6875,-2.8125,-14.5625,5.8125,12.6875,6.375,-4.3125,-27.375,-15.75,6.0625,-0.125,-33.375,-15.75,-45.25,-12.75,-9.3125,-14.5,-3.375,-3.125,0
Action 66,GRX,-4.875,3.25,-2.1875,2.9375,-2.0625,-3.625,1.8125,4.9375,-21.8125,-10.375,-5.5625,0.75,-2.6875,-2.625,4.5625,2.8125,21.125,-26.1875,-31.1875,-24.6875,-7.625,-52.8125,-43.9375,-22,-1.0625,44.625,31.875,2.5625,-3.25,3.375,2.6875,-11.0625,-12,27.75,13.375,13.4375,67.6875,26.6875,31.9375,25.875,17.75,15.875,14.1875,5.875,-11.8125,0
Action 66,GRY,-4.875,3.25,-2.1875,2.9375,-2.0625,-3.625,1.8125,4.9375,-21.8125,-10.375,-5.5625,0.75,-2.6875,-2.625,4.5625,2.8125,21.125,-26.1875,-31.1875,-24.6875,-7.625,-52.8125,-43.9375,-22,-1.0625,44.625,31.875,2.5625,-3.25,3.375,2.6875,-11.0625,-12,27.75,13.375,13.4375,67.6875,26.6875,31.9375,25.875,17.75,15.875,14.1875,5.875,-11.8125,0
Action 66,GRZ,-4.875,3.25,-2.1875,2.9375,-2.0625,-3.625,1.8125,4.9375,-21.8125,-10.375,-5.5625,0.75,-2.6875,-2.625,4.5625,2.8125,21.125,-26.1875,-31.1875,-24.6875,-7.625,-52.8125,-43.9375,-22,-1.0625,44.625,31.875,2.5625,-3.25,3.375,2.6875,-11.0625,-12,27.75,13.375,13.4375,67.6875,26.6875,31.9375,25.875,17.75,15.875,14.1875,5.875,-11.8125,0
Action 66,ORL,6.433249,6.429242,6.423912,6.418704,6.38877,6.353785,6.304304,6.283043,6.185379,6.139029,6.093245,6.10639,6.193521,6.55822,7.093046,7.418281,7.825861,7.908299,7.697683,7.316561,6.889084,6.562746,6.333983,6.26344,6.205673,6.155801,6.162384,6.171755,6.177426,6.175086,6.196946,6.224169,6.230676,6.223961,6.212955,6.268094,6.339725,6.403702,6.557661,6.745783,6.949993,6.967121,6.862953,6.765108,6.688381,0
Action 66,OPL,3.150733,3.152762,3.153623,3.156317,3.179608,3.215029,3.275642,3.338076,3.637173,4.054713,4.598764,5.181798,5.734084,6.45176,6.787055,6.864396,6.90749,6.90921,6.915394,6.837479,6.577399,6.222383,5.794143,5.539988,5.277325,4.580045,4.342689,4.317103,4.356627,4.361789,4.36415,4.327242,4.219269,4.091678,3.986833,3.806004,3.487927,3.282006,3.107624,2.985143,2.915423,2.912991,2.94614,2.984004,3.024091,0
