ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 33,ORL,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,8.521487,0
Action 33,OPL,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,7.129453,0
Action 33,OYL,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,8.804931,0
Action 33,ORR,2.339657,2.311361,2.465198,2.692283,2.842797,2.91548,2.989784,3.094668,3.118176,2.946714,2.725655,2.848337,2.982333,2.947598,2.79107,2.789348,2.966473,2.973053,2.973053,2.931069,2.948611,3.008705,3.14935,3.283846,3.270533,3.126749,2.93725,2.747819,2.564701,2.324086,2.259506,2.259166,2.315916,2.35324,2.383443,2.397802,2.448321,2.544293,2.62416,2.631318,2.619469,2.618894,2.618238,2.624538,2.624538,0
Action 33,OPR,7.130408,7.059506,6.900586,6.734876,6.514222,6.096747,5.70985,5.368104,5.123102,5.090164,5.0946,5.110891,5.109585,5.154211,5.197748,5.227601,5.242148,5.260725,5.260725,5.367873,5.602206,6.005247,6.330601,6.68387,6.886403,7.006406,7.068233,7.101484,7.128138,7.175015,7.186934,7.19698,7.206708,7.207545,7.206973,7.208936,7.206899,7.203179,7.196715,7.199077,7.202743,7.199337,7.193901,7.188517,7.188517,0
Action 33,OYR,9.218009,9.191259,9.414336,9.677122,9.91605,0.1207224,0.1713181,0.2161338,0.2769671,0.2290048,0.09807926,0.07428183,0.1139519,0.1254912,0.05685853,0.05120936,0.125785,0.1281872,0.1281872,0.1266943,0.1255708,0.1087375,0.104306,0.08046645,0.05770874,9.870318,9.692245,9.559187,9.418663,9.227069,9.157489,9.137797,9.191526,9.233706,9.277006,9.308554,9.376038,9.456909,9.536878,9.548946,9.548702,9.550933,9.543118,9.549775,9.549775,0
Action 34,ALX,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,-0.9697266,0
Action 34,ALY,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0.1796875,0
Action 34,ALZ,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,-0.1411133,0
Action 34,ARX,-0.996582,-0.9946289,-0.9980469,-0.9960938,-0.9941406,-0.9960938,-0.9887695,-1.044434,-1.129883,-1.147949,-1.060547,-0.9726563,-0.7075195,-0.5444336,-0.371582,-0.3305664,-0.3271484,-0.3686523,-0.4169922,-0.2998047,-0.3583984,-0.2070313,-0.1489258,-0.2573242,-0.2719727,-0.6796875,-0.7583008,-0.8100586,-0.8598633,-1.070801,-1.210449,-0.9555664,-1.003906,-1.019531,-1.055664,-1.005859,-1.057617,-0.980957,-0.9887695,-1.01123,-1,-1.010254,-1.017578,-0.9785156,-1.013672,0
