ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47
Action 193,EMG6L,1,1,1,-1,0,-3,0,-1,5,0,2,0,2,-3,5,-13,-10,-9,-8,-8,10,-13,3,-8,0,2,-6,-1,3,0,6,4,-9,-1,-1,-2,-3,-3,0,-3,0,-3,0,1,-1,0,0
Action 193,EMG7L,-1,-11,-6,-2,1,1,2,5,13,15,-7,2,-24,9,17,-12,-10,0,-8,-16,9,-7,18,17,-1,1,-3,-2,-1,-6,-2,7,4,-6,-5,-2,-10,-5,0,-4,-1,-3,0,0,-2,0,0
Action 193,EMG0R,0,-1,-1,0,0,-2,0,-2,-1,0,-1,1,1,-3,-1,-1,-2,2,-1,-3,-1,2,-2,0,-2,-1,-2,1,0,-2,-1,-1,-1,-1,-2,-1,-1,1,-1,-2,0,-1,-2,0,1,0,0
Action 193,EMG1R,1,-2,-1,-3,0,2,0,0,-2,-2,0,0,-2,1,-3,-1,-2,-1,-5,-3,-1,-3,0,-4,-3,6,0,-1,-4,-5,0,0,-9,-2,1,6,1,-4,-1,-2,-3,-1,-5,9,15,0,0
Action 193,EMG2R,-2,-1,0,-2,-1,1,-1,-4,-5,-2,2,-1,0,0,0,-1,-1,-1,0,-2,0,-1,-2,-4,-3,-1,-2,1,0,0,3,3,2,-3,1,0,-3,-2,2,-3,-2,-1,0,0,-2,0,0
Action 193,EMG3R,-3,1,1,-1,-3,-2,-1,-1,-3,0,-1,-2,-1,-2,-4,-3,-1,0,0,-3,-2,-1,0,-1,0,-2,-1,-1,0,0,0,1,0,-1,0,0,-2,-1,-2,-2,-1,-2,0,-3,-1,0,0
Action 193,EMG4R,-1,-1,-1,1,-1,-2,-1,-1,-1,0,1,-2,-1,-1,0,0,-3,0,-2,-1,0,-1,-1,-1,-2,-3,-1,-1,-2,-2,-2,1,-2,-1,-1,-1,-1,-2,-1,0,0,1,0,-1,1,0,0
Action 193,EMG5R,0,-2,-1,0,-3,-2,-2,-1,-3,-3,-1,-2,-1,-1,-1,0,1,-3,0,1,-3,-1,0,1,0,2,-3,-1,-1,-2,1,-1,1,0,-5,-2,-3,-1,-1,-2,-1,0,-1,-2,1,0,0
Action 193,EMG6R,1,1,-1,-1,0,-2,-1,-1,-2,1,-1,-2,-1,-3,1,-3,-2,-2,-1,-1,1,0,-1,-1,-2,-1,-3,-1,-2,0,-1,-2,0,2,-1,1,-1,-2,-2,-2,1,0,-3,1,-2,0,0
Action 193,EMG7R,-2,-1,-1,-2,0,-2,-1,-5,-1,-1,-3,-1,4,-2,0,-2,-2,0,-3,-1,-1,-3,-2,-1,-1,-3,-1,0,-2,-1,-4,0,0,1,-3,7,-3,-1,-1,-1,-1,-1,-2,0,-1,0,0
Action 193,GLX,14,20.25,22.4375,6.1875,1.5625,11.6875,79.8125,116.5,174.5,67.3125,36.9375,9.125,4,-2.6875,11.3125,7.3125,7.375,0.625,-4.0625,-0.375,33.75,22.8125,11.0625,2.5,-5.625,-8.625,-4.0625,-5.6875,-6.875,-7.1875,15.1875,-75.625,-94.75,-72.9375,-9.9375,2.625,-12.125,1.75,4.875,-4.3125,1.875,1.0625,0.6875,-0.75,0.125,0,0
Action 193,GLY,14,20.25,22.4375,6.1875,1.5625,11.6875,79.8125,116.5,174.5,67.3125,36.9375,9.125,4,-2.6875,11.3125,7.3125,7.375,0.625,-4.0625,-0.375,33.75,22.8125,11.0625,2.5,-5.625,-8.625,-4.0625,-5.6875,-6.875,-7.1875,15.1875,-75.625,-94.75,-72.9375,-9.9375,2.625,-12.125,1.75,4.875,-4.3125,1.875,1.0625,0.6875,-0.75,0.125,0,0
Action 193,GLZ,14,20.25,22.4375,6.1875,1.5625,11.6875,79.8125,116.5,174.5,67.3125,36.9375,9.125,4,-2.6875,11.3125,7.3125,7.375,0.625,-4.0625,-0.375,33.75,22.8125,11.0625,2.5,-5.625,-8.625,-4.0625,-5.6875,-6.875,-7.1875,15.1875,-75.625,-94.75,-72.9375,-9.9375,2.625,-12.125,1.75,4.875,-4.3125,1.875,1.0625,0.6875,-0.75,0.125,0,0
Action 193,GRX,1.8125,0.9375,5.375,5.25,2.75,-3.0625,-11.25,-16.6875,-10.125,-7.4375,0.9375,0.5625,2.25,6.125,4.625,2.125,4.8125,9.625,5.5625,5,-9.3125,4.1875,-1.375,-11.875,0.5625,0.3125,2.25,5.4375,8.375,7.125,1.4375,-3.1875,-1.9375,-2.375,-1.1875,-3.3125,-3.3125,2.1875,2,2.375,4.0625,4,1.5,-1.875,-0.1875,0,0
Action 193,GRY,1.8125,0.9375,5.375,5.25,2.75,-3.0625,-11.25,-16.6875,-10.125,-7.4375,0.9375,0.5625,2.25,6.125,4.625,2.125,4.8125,9.625,5.5625,5,-9.3125,4.1875,-1.375,-11.875,0.5625,0.3125,2.25,5.4375,8.375,7.125,1.4375,-3.1875,-1.9375,-2.375,-1.1875,-3.3125,-3.3125,2.1875,2,2.375,4.0625,4,1.5,-1.875,-0.1875,0,0
Action 193,GRZ,1.8125,0.9375,5.375,5.25,2.75,-3.0625,-11.25,-16.6875,-10.125,-7.4375,0.9375,0.5625,2.25,6.125,4.625,2.125,4.8125,9.625,5.5625,5,-9.3125,4.1875,-1.375,-11.875,0.5625,0.3125,2.25,5.4375,8.375,7.125,1.4375,-3.1875,-1.9375,-2.375,-1.1875,-3.3125,-3.3125,2.1875,2,2.375,4.0625,4,1.5,-1.875,-0.1875,0,0
Action 193,ORL,6.832941,6.845363,6.899795,6.933454,6.934925,6.923528,6.76629,6.669596,6.706503,6.72839,6.720496,6.730525,6.751006,6.763646,6.765652,6.77913,6.782334,6.785286,6.746967,6.721618,6.73815,6.780684,6.782711,6.776308,6.764996,6.744425,6.736527,6.707071,6.689487,6.681647,6.718513,6.741475,6.851114,7.002176,7.002682,6.96179,6.93902,6.925632,6.925423,6.926486,6.922469,6.910162,6.908351,6.906317,6.904624,0,0
Action 193,OPL,3.069679,3.074283,3.060601,3.044755,3.037076,3.041902,3.144545,3.36675,3.858374,4.301501,4.584368,4.945953,5.281313,5.348846,5.372386,5.374897,5.336885,5.305705,5.234138,5.216928,5.138241,5.122303,5.137201,5.148289,5.155862,5.161601,5.154986,5.081082,4.904374,4.697785,3.985484,3.592588,3.163754,2.979117,2.943637,2.975483,2.987118,2.985762,2.992258,2.996182,2.997477,3.001155,3.001491,3.000672,2.999642,0,0
Action 193,OYL,4.985344,5.003474,5.01369,5.000448,5.001677,5.026257,5.271882,5.584899,6.03266,6.306985,6.453782,6.610909,6.745452,6.775619,6.783857,6.780879,6.761494,6.735436,6.528892,6.384851,6.107481,5.940245,5.869462,5.824143,5.805408,5.781619,5.768745,5.73161,5.699513,5.673065,5.614991,5.511659,5.131183,4.813642,4.770462,4.805244,4.81119,4.82214,4.836658,4.830084,4.834528,4.852286,4.856071,4.856639,4.859035,0,0
