ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 107,EMG6R,3,-2,-5,5,-2,-11,-4,-1,-5,10,5,8,-4,3,3,10,-13,-20,5,4,0,4,-9,4,5,-9,1,0,-10,9,6,6,5,-8,-10,-7,0,-6,-5,16,3,-4,-6,-1,10,0
Action 107,EMG7R,2,-10,-6,-1,-3,-4,-3,-6,0,10,-3,6,-3,7,-5,7,-4,-5,-9,8,-6,1,-4,1,8,-2,0,-4,-11,-2,-4,9,-1,-7,-7,-10,-2,-1,-1,0,0,-2,-7,-5,-13,0
Action 107,GLX,1,3.375,0.875,1.25,3.3125,-1.25,-2.9375,-0.875,-0.625,-0.375,-2.25,-1.5625,-1,-1.3125,-5.75,4.5,6.6875,3.75,1.8125,-1.5,-4,-0.625,-3.5,0.3125,2.4375,4,1.1875,-0.75,-0.3125,0.9375,-0.3125,3.5625,-1.3125,-1.5,0.25,-0.3125,4.125,6.6875,7.6875,5.8125,0.0625,-8.6875,-6.5625,-4.4375,0.1875,0
Action 107,GLY,1,3.375,0.875,1.25,3.3125,-1.25,-2.9375,-0.875,-0.625,-0.375,-2.25,-1.5625,-1,-1.3125,-5.75,4.5,6.6875,3.75,1.8125,-1.5,-4,-0.625,-3.5,0.3125,2.4375,4,1.1875,-0.75,-0.3125,0.9375,-0.3125,3.5625,-1.3125,-1.5,0.25,-0.3125,4.125,6.6875,7.6875,5.8125,0.0625,-8.6875,-6.5625,-4.4375,0.1875,0
Action 107,GLZ,1,3.375,0.875,1.25,3.3125,-1.25,-2.9375,-0.875,-0.625,-0.375,-2.25,-1.5625,-1,-1.3125,-5.75,4.5,6.6875,3.75,1.8125,-1.5,-4,-0.625,-3.5,0.3125,2.4375,4,1.1875,-0.75,-0.3125,0.9375,-0.3125,3.5625,-1.3125,-1.5,0.25,-0.3125,4.125,6.6875,7.6875,5.8125,0.0625,-8.6875,-6.5625,-4.4375,0.1875,0
Action 107,GRX,-1.0625,-6.375,3.0625,2.125,1.125,-22.75,-68.5,-15.3125,-12,-8.4375,-37.5625,-16.0625,-0.125,16.375,11.6875,-9.1875,-13.5625,-8.9375,-0.125,3,6.5,1.6875,1.75,15.375,21.125,21.9375,20.0625,24.8125,14.375,2.9375,0.0625,-6.9375,-3.1875,1.25,-0.5,-8.1875,-13.375,-27.25,-22.0625,20.5,22.75,43.0625,31.75,-35.5,-32.5625,0
Action 107,GRY,-1.0625,-6.375,3.0625,2.125,1.125,-22.75,-68.5,-15.3125,-12,-8.4375,-37.5625,-16.0625,-0.125,16.375,11.6875,-9.1875,-13.5625,-8.9375,-0.125,3,6.5,1.6875,1.75,15.375,21.125,21.9375,20.0625,24.8125,14.375,2.9375,0.0625,-6.9375,-3.1875,1.25,-0.5,-8.1875,-13.375,-27.25,-22.0625,20.5,22.75,43.0625,31.75,-35.5,-32.5625,0
Action 107,GRZ,-1.0625,-6.375,3.0625,2.125,1.125,-22.75,-68.5,-15.3125,-12,-8.4375,-37.5625,-16.0625,-0.125,16.375,11.6875,-9.1875,-13.5625,-8.9375,-0.125,3,6.5,1.6875,1.75,15.375,21.125,21.9375,20.0625,24.8125,14.375,2.9375,0.0625,-6.9375,-3.1875,1.25,-0.5,-8.1875,-13.375,-27.25,-22.0625,20.5,22.75,43.0625,31.75,-35.5,-32.5625,0
Action 107,ORL,3.119132,3.122998,3.121751,3.121425,3.127991,3.124349,3.121794,3.121848,3.122669,3.116191,3.115684,3.114766,3.114576,3.1152,3.104458,3.106582,3.109776,3.108274,3.108562,3.11147,3.11114,3.111819,3.111808,3.112174,3.115678,3.120917,3.123151,3.121412,3.122437,3.128779,3.128417,3.131567,3.133282,3.132143,3.130041,3.129894,3.134373,3.140854,3.142764,3.143336,3.147986,3.144868,3.145643,3.146466,3.14597,0
Action 107,OPL,3.139722,3.142792,3.141391,3.138323,3.140624,3.140639,3.140342,3.13813,3.136218,3.13006,3.127897,3.126426,3.126533,3.126371,3.125174,3.130264,3.132463,3.131667,3.132518,3.1338,3.133995,3.133756,3.132773,3.131345,3.131956,3.133395,3.133227,3.132044,3.133821,3.134813,3.132104,3.134468,3.134881,3.135221,3.135602,3.134671,3.135888,3.137866,3.138144,3.142424,3.142921,3.137689,3.136652,3.137281,3.136931,0
